  3.986004418   6378137.00
 name Doodson            C10+            C10-            C11+            C11-            S11+            S11-
  2N2 247.455  0.14379190E-08  0.72446933E-09  0.45556662E-09  0.50261431E-09  0.98234968E-09  0.28806626E-08
   J1 175.455  0.22805765E-08 -0.14599680E-07  0.11146859E-07  0.31354016E-08  0.49073923E-08  0.50239288E-08
   K1 165.555  0.65903198E-07 -0.23618735E-06  0.15240517E-06  0.54510351E-07  0.57951321E-07  0.91115166E-07
   K2 275.555  0.58820344E-08  0.78223673E-09  0.82634785E-08  0.17098158E-07  0.28274727E-08  0.95641986E-09
   L2 265.455  0.99527541E-09  0.43369491E-10  0.27208849E-08  0.18838893E-08 -0.93316186E-09 -0.31242492E-09
   M2 255.555  0.64086749E-07  0.33741274E-07  0.82092113E-07  0.76976307E-08 -0.39331272E-07  0.74234937E-07
   M3 355.555  0.51159035E-10  0.26216133E-10  0.20622631E-10 -0.16737336E-10 -0.74054752E-10 -0.32502465E-10
   M4 455.555 -0.12877739E-09 -0.82078020E-09  0.21241775E-09  0.89312487E-09 -0.11238411E-09 -0.11882183E-08
   M6 655.555  0.18174228E-08  0.30921490E-09  0.36600543E-09  0.36841599E-09 -0.72147727E-09 -0.13743491E-09
   M8 855.555 -0.59854172E-10 -0.29503418E-11  0.41858427E-10  0.58809710E-10 -0.34465624E-10  0.81925459E-11
   Mf  75.555  0.23994538E-07  0.23160661E-08  0.14961765E-07 -0.19050356E-07  0.57231952E-08 -0.38155669E-08
   Mm  65.455  0.12211587E-07 -0.10619733E-08 -0.13680094E-08 -0.93454574E-08  0.34149364E-08 -0.61740212E-09
   N2 245.655  0.16604395E-07  0.24692742E-08  0.10060051E-07  0.75631673E-09 -0.49125733E-09  0.20845840E-07
   N4 435.755 -0.11170849E-09 -0.41029169E-10  0.37178942E-10 -0.10703469E-09 -0.53442667E-10 -0.19926918E-10
   O1 145.555  0.23239277E-07 -0.16830188E-06  0.86481239E-07  0.11802879E-07  0.58555768E-07  0.34726677E-07
   P1 163.555  0.16600812E-07 -0.74602430E-07  0.48235157E-07  0.14146460E-07  0.16888410E-07  0.27904988E-07
   Q1 135.655  0.40244812E-08 -0.29117940E-07  0.15908436E-07  0.77164577E-09  0.12770867E-07  0.14909422E-08
   R2 274.554  0.21029138E-09  0.96276767E-10  0.25728894E-09  0.46084038E-09  0.53716115E-10  0.14500876E-09
   S1 164.556 -0.40129653E-08  0.48653114E-08 -0.48716881E-08  0.11419251E-07  0.74509139E-08 -0.34899535E-09
   S2 273.555  0.22430236E-07  0.94564697E-08  0.30377828E-07  0.49157638E-07 -0.61338730E-08  0.76805145E-08
   S4 491.555  0.32089047E-09  0.14407638E-09  0.12925319E-11  0.14038268E-09  0.10308541E-09  0.11742749E-09
   Sa  56.554  0.21793187E-09  0.12972260E-09  0.71714382E-10  0.49927099E-10 -0.42733149E-10 -0.53422994E-10
   T2 272.556  0.13719484E-08  0.73425584E-09  0.20944307E-08  0.29614380E-08  0.13767437E-09  0.10318216E-08
  MN4 445.655 -0.70793273E-09 -0.76823301E-10  0.24279253E-09 -0.66374018E-09 -0.14062685E-09  0.16716883E-09
  MS4 473.555  0.32582237E-09 -0.10684852E-08  0.10873236E-08  0.38092589E-09 -0.40703836E-09 -0.28009461E-09
  Msf  73.555  0.52032006E-09  0.12958178E-08  0.20898774E-09  0.69234415E-09  0.16108594E-08  0.36734674E-09
  Mtm  85.455  0.38057222E-08  0.89028662E-09  0.47545363E-08 -0.16109463E-08  0.13034435E-08  0.46197838E-10
  mu2 237.555  0.27230195E-08 -0.54548861E-09  0.80856645E-09  0.28475772E-08  0.30945151E-08  0.39961507E-08
  nu2 245.655  0.31512988E-08  0.13274377E-08  0.16643629E-08  0.77176190E-09 -0.34369557E-09  0.49489633E-08
  Ssa  57.555  0.85592993E-08 -0.21041028E-09 -0.85777470E-08 -0.10849053E-08  0.38854237E-09 -0.73333943E-09
 eps2 227.655  0.15232320E-08 -0.54284574E-09  0.18709319E-08 -0.17678032E-09  0.14037532E-08 -0.64291979E-09
 lam2 263.655  0.77975910E-09 -0.46145888E-09  0.29230225E-08 -0.81098933E-09 -0.68691816E-09 -0.10714953E-08
 MKS2 257.555 -0.76338045E-11 -0.81694611E-10  0.81955321E-10  0.53313693E-09  0.52931064E-09  0.23733568E-09
 Msqm  93.555  0.17382639E-09 -0.21085098E-11  0.98864729E-10  0.18391545E-09 -0.15315104E-09 -0.66456652E-11
